onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
39.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
40.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
41.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
42.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
43.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
44.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
45.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
46.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
47.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
48.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
49.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
50.0720000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
51.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
52.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
53.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
54.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
55.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
56.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
57.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
58.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
59.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
60.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
61.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
62.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
63.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
64.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
65.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
66.0740000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
67.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
68.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
69.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
70.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
71.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
72.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
73.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
74.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
75.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
76.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
77.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
78.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
79.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
80.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
81.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
82.0760000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
83.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
84.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
85.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
86.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
87.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
88.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
89.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
90.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
91.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
92.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
93.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
94.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
95.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
96.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
97.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
98.0780000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
112.3940000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
113.3940000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
114.3940000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
115.3940000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
116.3940000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
117.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
118.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
119.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
120.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
121.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
122.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
123.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
124.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
125.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
126.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
127.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
128.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
129.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
130.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
131.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
132.3960000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
133.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
134.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
135.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
136.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
137.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
138.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
139.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
140.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
141.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
142.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
143.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
144.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
145.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
146.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
147.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
148.3980000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
149.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
150.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
151.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
152.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
153.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
154.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
155.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
156.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
157.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
158.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
159.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
160.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
161.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
162.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
163.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
164.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
165.4000000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
166.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
167.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
168.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
169.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
170.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  1
171.4020000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
252.1420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
252.8980000000	n/a	n/a	Standard Tone	n/a	n/a	S201
255.1780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
256.5680000000	n/a	n/a	Target Tone	n/a	n/a	S200
257.2120000000	n/a	n/a	Standard Tone	n/a	n/a	S201
258.4220000000	n/a	n/a	Standard Tone	n/a	n/a	S201
259.8780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
261.3000000000	n/a	n/a	Novel Tone	n/a	n/a	S202
262.5200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
264.9140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
266.2420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
267.5200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
268.9020000000	n/a	n/a	Target Tone	n/a	n/a	S200
269.9520000000	n/a	n/a	Standard Tone	n/a	n/a	S201
271.2280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
272.6380000000	n/a	n/a	Target Tone	n/a	n/a	S200
274.0340000000	n/a	n/a	Standard Tone	n/a	n/a	S201
275.2440000000	n/a	n/a	Novel Tone	n/a	n/a	S202
276.2860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
278.5380000000	n/a	n/a	Standard Tone	n/a	n/a	S201
280.0080000000	n/a	n/a	Target Tone	n/a	n/a	S200
281.2320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
282.3320000000	n/a	n/a	Standard Tone	n/a	n/a	S201
283.3640000000	n/a	n/a	Novel Tone	n/a	n/a	S202
284.6760000000	n/a	n/a	Standard Tone	n/a	n/a	S201
285.8220000000	n/a	n/a	Target Tone	n/a	n/a	S200
287.1380000000	n/a	n/a	Standard Tone	n/a	n/a	S201
288.4540000000	n/a	n/a	Standard Tone	n/a	n/a	S201
289.6940000000	n/a	n/a	Novel Tone	n/a	n/a	S202
290.9140000000	n/a	n/a	Standard Tone	n/a	n/a	S201
292.3700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
293.8520000000	n/a	n/a	Novel Tone	n/a	n/a	S202
294.9880000000	n/a	n/a	Standard Tone	n/a	n/a	S201
296.3080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
297.3860000000	n/a	n/a	Standard Tone	n/a	n/a	S201
298.3640000000	n/a	n/a	Target Tone	n/a	n/a	S200
299.7920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
300.9720000000	n/a	n/a	Standard Tone	n/a	n/a	S201
302.3640000000	n/a	n/a	Novel Tone	n/a	n/a	S202
303.4920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
304.7280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
306.2240000000	n/a	n/a	Target Tone	n/a	n/a	S200
307.3000000000	n/a	n/a	Standard Tone	n/a	n/a	S201
308.4700000000	n/a	n/a	Standard Tone	n/a	n/a	S201
309.5560000000	n/a	n/a	Novel Tone	n/a	n/a	S202
310.7840000000	n/a	n/a	Standard Tone	n/a	n/a	S201
311.8200000000	n/a	n/a	Standard Tone	n/a	n/a	S201
312.8380000000	n/a	n/a	Novel Tone	n/a	n/a	S202
314.2600000000	n/a	n/a	Standard Tone	n/a	n/a	S201
315.2860000000	n/a	n/a	Target Tone	n/a	n/a	S200
316.7080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
317.9280000000	n/a	n/a	Standard Tone	n/a	n/a	S201
319.3180000000	n/a	n/a	Standard Tone	n/a	n/a	S201
320.5920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
321.9020000000	n/a	n/a	Standard Tone	n/a	n/a	S201
323.2120000000	n/a	n/a	Target Tone	n/a	n/a	S200
324.3680000000	n/a	n/a	Standard Tone	n/a	n/a	S201
325.7780000000	n/a	n/a	Standard Tone	n/a	n/a	S201
327.1760000000	n/a	n/a	Novel Tone	n/a	n/a	S202
328.5420000000	n/a	n/a	Standard Tone	n/a	n/a	S201
330.0160000000	n/a	n/a	Standard Tone	n/a	n/a	S201
331.3940000000	n/a	n/a	Novel Tone	n/a	n/a	S202
332.7080000000	n/a	n/a	Standard Tone	n/a	n/a	S201
333.8580000000	n/a	n/a	Standard Tone	n/a	n/a	S201
335.0400000000	n/a	n/a	Standard Tone	n/a	n/a	S201
336.4520000000	n/a	n/a	Novel Tone	n/a	n/a	S202
337.4920000000	n/a	n/a	Standard Tone	n/a	n/a	S201
